,GroupID,SPECID,CBL,CH,CBW,ADM,PDM,mda,rf,c5,majority,prob.Abelisauridae,prob.Allosauridae,prob.Carcharodontosauridae,prob.Dromaeosaur.Morphotype.1,prob.Dromaeosaur.Morphotype.2,prob.Dromaeosaur.Morphotype.3,prob.Megalosauridae,prob.Metriacanthosauridae,prob.Neotheropoda,prob.Neovenatoridae,prob.Noasauridae,prob.Non_abelisauroid_Ceratosauria,prob.Non_averostran_Neotheropoda,prob.Non_megalosauran_Megalosauroidea,prob.Non_tyrannosaurid_Tyrannosauroidea,prob.Proceratosauridae.,prob.Spinosauridae.Morphotype.1,prob.Therizinosauria,prob.Troodontidae,prob.Tyrannosauridae.Morphotype.1,prob.Tyrannosauridae.Morphotype.2,prob.Tyrannosauridae.Morphotype.3,prob.Tyrannosauridae.pmx.Morphotype.1,
1,Madagascar,MSNM V5778,0.459849518,0.769954915,0.6710721,-0.302138297,-0.25458214,Tyrannosauridae.Morphotype.3,Abelisauridae,Troodontidae,Abelisauridae,0.20,0.02,0.00,0.00,0.09,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.10,0.00,0.39,0.00,
2,Madagascar,MSNM V5779,0.809558006,0.737762154,0.51606522,-0.378988845,-0.34080535,Troodontidae,Abelisauridae,Troodontidae,Troodontidae,0.28,0.03,0.00,0.00,0.07,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.03,0.00,0.12,0.00,
3,Madagascar,MSNM V5781,-0.072003064,-0.219618702,-0.06533875,0.126596576,0.07723576,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,
4,Madagascar,MSNM V5782,0.437321721,0.251469278,0.35747994,-0.110768339,-0.03987277,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.03,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.11,0.00,
5,Madagascar,MSNM V5784,0.280387984,0.197876302,0.13074709,0.040684972,0.13005173,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Tyrannosauridae.Morphotype.1,Dromaeosaur.Morphotype.2,0.02,0.00,0.00,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.04,0.00,
6,Madagascar,MSNM V5785,-0.038649201,0.447252062,0.08459378,0.448871851,0.27068773,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.01,0.00,
7,Madagascar,MSNM V5787,-0.072003064,0.170005277,0.06084706,0.166033509,-0.03987277,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.02,0.00,
8,Madagascar,MSNM V5788,-0.141428161,-0.023514763,-0.20605904,0.239034942,0.22644108,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,
9,Madagascar,MSNM V5789,0.22797044,0.386003917,0.13074709,-0.006389785,-0.17658375,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.04,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.00,0.01,0.00,
10,Madagascar,MSNM V5790,-0.141428161,-0.283197752,-0.33159661,0.203447124,0.13005173,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
11,Madagascar,MSNM V5791,-0.159387216,0.058270294,0.13074709,-1.180322779,-0.03987277,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,0.01,0.00,0.00,0.67,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.19,0.00,0.00,0.01,0.00,
12,Madagascar,MSNM V5792,0.11624335,0.177043496,0.06084706,0.126596576,-0.10537681,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.01,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.00,0.01,0.00,
13,Madagascar,MSNM V5794,-0.196076898,-0.112298184,-0.09221714,0.394817082,0.46186963,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,
14,Madagascar,MSNM V5795,-0.177601018,0.11935458,0.06084706,0.239034942,0.0207745,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.02,0.00,
15,Madagascar,MSNM V5796,-0.022291636,0.050375706,-0.01329185,0.203447124,0.0207745,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.02,0.00,
16,Madagascar,MSNM V5798,-0.141428161,-0.093923663,-0.20605904,0.08490491,0.07723576,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,
17,Madagascar,MSNM V5799,0.145099654,0.026325209,-0.11969958,0.126596576,0.0207745,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.01,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.00,0.01,0.00,
18,Madagascar,MSNM V5800,0.915603443,0.611905235,0.78232308,-0.05671357,-0.17658375,Tyrannosauridae.Morphotype.3,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.08,0.00,0.00,0.00,0.29,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.00,0.42,0.00,
19,Madagascar,MSNM V5806,0.009811324,-0.159709773,0.03663008,0.126596576,-0.03987277,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,
20,Madagascar,MSNM V5807,0.22797044,0.875363258,0.56466436,-0.302138297,-0.25458214,Tyrannosauridae.Morphotype.3,Abelisauridae,Abelisauridae,Abelisauridae,0.24,0.04,0.00,0.00,0.08,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.07,0.00,0.37,0.00,
21,Madagascar,MSNM V580,0.379209926,0.564709228,0.06084706,-0.05671357,-0.10537681,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.03,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.05,0.00,
22,Madagascar,MSNM V580,0.305815578,0.39741209,0.29969356,-0.302138297,-0.25458214,Tyrannosauridae.Morphotype.3,Dromaeosaur.Morphotype.2,Troodontidae,Dromaeosaur.Morphotype.2,0.19,0.01,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.10,0.00,0.17,0.00,
23,Madagascar,MSNM V5810,0.448635023,0.616508938,0.19686684,-0.006389785,-0.10537681,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.02,0.01,0.00,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.06,0.00,
24,Madagascar,MSNM V5811,0.009811324,0.162919015,0.01192384,0.126596576,0.0207745,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.01,0.00,
25,Madagascar,MSNM V5813,0.254446667,0.141365299,0.17522172,0.040684972,-0.10537681,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.01,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.00,0.01,0.00,
26,Madagascar,MSNM V5814,0.267482835,0.327003191,0.23904059,0.08490491,0.0207745,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.02,0.00,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.00,0.02,0.00,
27,Madagascar,MSNM V5815,-0.022291636,0.081600115,0.13074709,0.146581541,-0.03987277,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.01,0.00,
28,Madagascar,MSNM V5816,-0.038649201,0.081600115,0.08459378,0.239034942,0.07723576,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,
29,Madagascar,MSNM V5817,0.130752561,0.170005277,0.13074709,0.126596576,0.0207745,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.01,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.11,0.00,0.01,0.00,
30,Madagascar,MSNM V5818,0.200936778,0.231694712,0.10788815,0.040684972,-0.03987277,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.01,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.00,0.01,0.00,
31,Madagascar,MSNM V5820,0.145099654,0.345058139,0.53248046,-0.302138297,-0.25458214,Tyrannosauridae.Morphotype.3,Abelisauridae,Troodontidae,Abelisauridae,0.21,0.01,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.06,0.00,0.34,0.00,
32,Madagascar,MSNM V5822,-0.375538432,-0.189232142,0.21813551,-1.180322779,0.0207745,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,0.02,0.00,0.00,0.70,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.00,0.15,0.01,0.00,0.01,0.00,
33,Madagascar,MSNM V5823,-0.292667647,-0.006634174,0.08459378,-1.180322779,0.07723576,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,0.01,0.00,0.00,0.71,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.04,0.00,0.00,0.17,0.00,0.00,0.01,0.00,
34,Madagascar,MSNM V5824,-0.292667647,0.034404108,0.10788815,-1.180322779,0.07723576,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.1,0.01,0.00,0.00,0.70,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.16,0.00,0.00,0.02,0.00,
35,Madagascar,MSNM V5959,-0.196076898,0.081600115,-0.11969958,0.239034942,0.07723576,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.2,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,
